Trt,Block,Plot,Stability,TOM, TotalN, CN, Cmin, Cmin%, NO3, NH4, Nmin, Nmin%, Humidity ,,,,,,,,
A_Viti,1,1,1.131253089,0.3,-0.1,1.5,96,0.4,-1.7,-15.1,8.7,0.6,7.9,,,,,,,,
A_Viti,1,3,1.257119487,0.3,-0.1,1.5,96,0.4,-1.7,-15.1,8.7,0.6,7.9,,,,,,,,
A_Viti,1,5,1.198572983,0.3,-0.1,1.5,96,0.4,-1.7,-15.1,8.7,0.6,7.9,,,,,,,,
A_Viti,2,1,0.822506236,0.1,-0.07,1.3,-260,-2.3,1.9,3.2,5.1,0.6,4.1,,,,,,,,
A_Viti,2,3,1.126666667,0.1,-0.07,1.3,-260,-2.3,1.9,3.2,5.1,0.6,4.1,,,,,,,,
A_Viti,2,5,1.518034912,0.1,-0.07,1.3,-260,-2.3,1.9,3.2,5.1,0.6,4.1,,,,,,,,
A_Viti,3,1,0.863333333,0.2,0.09,0.3,159,1.1,2,2.4,-3.4,-0.4,4.1,,,,,,,,
A_Viti,3,3,0.836884053,0.2,0.09,0.3,159,1.1,2,2.4,-3.4,-0.4,4.1,,,,,,,,
A_Viti,3,5,1.066666667,0.2,0.09,0.3,159,1.1,2,2.4,-3.4,-0.4,4.1,,,,,,,,
D_Viti,1,1,0.885773101,0.4,0,1.9,268,1.3,-0.9,-0.9,-7,-0.6,7.1,,,,,,,,
D_Viti,1,3,1.615683513,0.4,0,1.9,268,1.3,-0.9,-0.9,-7,-0.6,7.1,,,,,,,,
D_Viti,1,5,1.292589839,0.3,0.05,1.1,126,0.5,-2.4,-2.4,-1,-0.2,5.3,,,,,,,,
D_Viti,2,1,0.972336164,0.3,0.01,1.7,163,1.1,-0.5,-0.5,-6.4,-0.8,5.3,,,,,,,,
D_Viti,2,3,0.91654513,0.3,0.01,1.7,163,1.1,-0.5,-0.5,-6.4,-0.8,5.3,,,,,,,,
D_Viti,2,5,1.375423574,0,-0.12,1.6,114,1,-2.8,-2.8,-8.8,-0.8,5.3,,,,,,,,
D_Viti,3,1,0.8053084,0.1,0.02,0.1,114,0.8,-0.6,-0.6,-4.1,-0.4,5.2,,,,,,,,
D_Viti,3,3,1.100350105,0.1,0.02,0.1,114,0.8,-0.6,-0.6,-4.1,-0.4,5.2,,,,,,,,
D_Viti,3,5,0.899315853,0.2,0.06,0.1,234,1.7,1.5,0,7.5,0.5,4.2,,,,,,,,
T_Viti,4,1,0.862420967,-0.166666667,-0.233333333,1.56666667,13,0.366666667,0.033333333,-0.466666667,0,0.333333333,4.76666667,,,,,,,,
T_Viti,4,3,0.720837227,-0.1,-0.23,1.9,73,0.8,-2.8,-2.8,0.5,0.4,4.8,,,,,,,,
T_Viti,4,5,0.504978677,-0.1,-0.23,1.9,73,0.8,-2.8,-2.8,0.5,0.4,4.8,,,,,,,,
T_Viti,5,1,0.605749858,0.1,-0.09,1.5,-114,-1.2,-0.8,-0.8,3.9,0.4,2.4,,,,,,,,
T_Viti,5,3,0.100761497,0.1,-0.09,1.5,-114,-1.2,-0.8,-0.8,3.9,0.4,2.4,,,,,,,,
T_Viti,5,5,0.265597693,0.1,-0.09,1.5,-114,-1.2,-0.8,-0.8,3.9,0.4,2.4,,,,,,,,
T_Viti,6,1,0.221189432,-0.2,-0.23,1.1,197,1.9,-3.1,-3.1,-5.9,-0.4,5.7,,,,,,,,
T_Viti,6,3,0.214630964,-0.2,-0.23,1.1,197,1.9,-3.1,-3.1,-5.9,-0.4,5.7,,,,,,,,
T_Viti,6,5,0.138391007,-0.2,-0.23,1.1,197,1.9,-3.1,-3.1,-5.9,-0.4,5.7,,,,,,,,
