Treatment ,Rep,Year,MOtotale_pctTS,Ntot_g_kgTS,CsurNtotale,Cmin_mgCO2_kgTS,Cmin_pctCtot,NO3_T0,reliquats_azotes_mg_kg,Nmin_mg_kgTS,Nmin_pctNtot,humidite_pct
T_Viti_S,1,2021,1.8,1.1,9.7,201,1.9,10.7,10.7,12.5,1.1,12.6
T_Viti_S,2,2021,1.9,1.16,9.3,358,3.3,10.5,10.5,9.9,0.9,13.2
T_Viti_S,3,2021,2.2,1.26,10,204,1.6,11.8,11.8,13.5,1.1,14.1
A_Viti,1,2021,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7
A_Viti,2,2021,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6
A_Viti,3,2021,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4
D_VITI _VN ,1,2021,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3
D_VITI _VN ,2,2021,1.5,0.86,10.4,287,3.2,2.9,2.9,16.2,1.9,10.8
D_VITI _VN ,3,2021,2.1,1.1,11.3,347,2.8,3.4,3.4,14.6,1.3,12.4
D_VITI_VS ,1,2021,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8
D_VITI_VS ,2,2021,1.8,0.98,10.7,321,3.1,3.4,3.4,16.1,1.6,11.1
D_VITI_VS ,3,2021,2,1.11,10.7,381,3.2,2.2,3.7,14,1.3,12.7
D_VITI_ARB,1,2021,2.5,1.32,10.8,441,3.1,2.5,2.5,22.9,1.7,10.3
D_VITI_ARB,2,2021,1.8,0.97,10.6,328,3.2,1.3,1.3,15.1,1.6,10.5
D_VITI_ARB,3,2021,2,1.1,10.7,351,3,0.7,0.7,17.3,1.6,11.2
T_Viti_A,1,2022,1.9,0.94,11.5,420,3.9,14.4,14.4,17.3,1.8,17.9
T_Viti_A,2,2022,1.8,0.92,11.2,311,3,10.8,10.8,17.5,1.9,16.5
T_Viti_A,3,2022,1.8,0.97,10.7,296,2.9,10.2,10.2,15.8,1.6,17.9
T_Viti_S,1,2022,1.7,0.87,11.6,274,2.7,7.9,7.9,13,1.5,17.4
T_Viti_S,2,2022,2,1.07,10.8,244,2.1,9.7,9.7,13.8,1.3,15.6
T_Viti_S,3,2022,2,1.03,11.1,401,3.5,8.7,8.7,7.6,0.7,19.8
A_Viti,1,2022,2.9,1.54,10.8,510,3.1,8,8,22.1,1.4,18.6
A_Viti,2,2022,2.1,1.03,12,379,3.1,5.7,7,15.4,1.5,16.7
A_Viti,3,2022,2.1,1.08,11.3,401,3.3,4.1,4.5,8.7,0.8,16.5
D_VITI _VN ,1,2022,2.6,1.22,12.6,649,4.2,4.6,4.6,18.1,1.5,18.4
D_VITI _VN ,2,2022,1.8,0.87,12.1,450,4.3,2.4,2.4,9.8,1.1,16.1
D_VITI _VN ,3,2022,2.2,1.12,11.4,461,3.6,2.8,2.8,10.5,0.9,17.6
D_VITI_VS ,1,2022,2.4,1.24,11.3,480,3.4,3.7,3.7,17.7,1.4,17.1
D_VITI_VS ,2,2022,1.8,0.86,12.3,435,4.1,0.6,0.6,7.3,0.8,16.4
D_VITI_VS ,3,2022,2.2,1.17,10.8,615,4.9,3.7,3.7,21.5,1.8,16.9
D_VITI_ARB,1,2022,2.4,1.25,11.3,566,4,2.6,3.2,12.7,1,15.7
D_VITI_ARB,2,2022,1.9,1,10.8,379,3.5,1.8,1.8,4.3,0.4,14.7
D_VITI_ARB,3,2022,2.5,1.81,8,555,3.8,4.2,5.1,14.3,0.8,18
